Timestamp,Open,High,Low,Close,Volume_(BTC),Volume_(Currency),Weighted_Price
2018-06-01 01:55:00,818500,818600,818294,818511,4.156045,3401076.3443,818344.44629
2018-06-01 01:56:00,818327,818600,818074,818518,3.7183683,3043296.9451,818449.57238
2018-06-01 01:57:00,818328,818500,818327,818500,3.2804,2684629.9843,818384.9482600002
2018-06-01 01:58:00,818327,818492,817961,818492,2.7773,2272612.487,818281.23969
2018-06-01 01:59:00,818200,818498,818036,818036,0.4257,348290.04799999995,818158.44022
2018-06-01 02:00:00,818127,818334,817840,817903,1.7137,1401916.686,818064.23878
2018-06-01 02:01:00,817905,819215,817905,819122,2.05154951,1679536.5741,818667.337
2018-06-01 02:02:00,819184,819732,819157,819690,2.02599242,1660269.5218,819484.56737
2018-06-01 02:03:00,819879,819907,819373,819729,2.3768,1948601.0505,819842.2460899998
2018-06-01 02:04:00,819662,819692,819099,819167,1.2849,1052676.9396,819267.60028
2018-06-01 02:05:00,819498,819498,819109,819109,11.77854704,9648081.3536,819123.2179
2018-06-01 02:06:00,819109,819217,819109,819212,2.4709,2023941.8431,819111.19151
2018-06-01 02:07:00,819217,819400,819109,819109,1.52255963,1247216.7795,819157.91995
2018-06-01 02:08:00,819202,819339,819109,819110,0.138,113052.071,819217.9058
2018-06-01 02:09:00,819262,819808,819257,819808,1.3101303,1073812.4825,819622.6608399998
2018-06-01 02:10:00,819698,820524,819697,820524,11.00139704,9021896.4206,820068.2502199998
2018-06-01 02:11:00,820524,820699,820132,820257,11.35552197,9314991.4133,820304.9968
2018-06-01 02:12:00,820257,820722,820221,820584,6.30445365,5171489.3724,820291.4415
2018-06-01 02:13:00,820493,821490,820493,821375,3.57248607,2933412.0021,821112.22959
2018-06-01 02:14:00,821171,821761,821164,821458,1.66042821,1364112.228,821542.43088
2018-06-01 02:15:00,821079,821079,820584,820584,6.52387966,5355120.1346,820849.00607
2018-06-01 02:16:00,820576,820576,820046,820046,16.32810013,13396976.335,820485.92475
2018-06-01 02:17:00,819993,821327,819993,821150,8.18659346,6720057.9163,820861.3203
2018-06-01 02:18:00,821142,821411,820412,820412,10.83486667,8895556.6871,821012.10453
2018-06-01 02:19:00,820899,821445,820879,821097,2.242,1841072.3529,821174.1092300002
2018-06-01 02:20:00,821055,821055,820394,820800,16.0679612,13188528.209,820796.61787
2018-06-01 02:21:00,820764,821719,820372,821439,14.94758109,12277454.123,821367.28675
2018-06-01 02:22:00,821171,821320,821154,821320,3.38500368,2779763.0199,821199.40853
2018-06-01 02:23:00,821030,821203,821030,821047,3.75003037,3079003.0562,821060.83215
2018-06-01 02:24:00,821047,821682,821044,821403,9.32130101,7656312.9824,821378.15035
2018-06-01 02:25:00,821300,821407,820520,820520,5.99330939,4920561.2871,821009.05642
2018-06-01 02:26:00,820519,821269,820519,821269,4.7856,3927625.621,820717.49018
2018-06-01 02:27:00,821489,821500,820600,820925,8.45720934,6943455.9,821010.29085
2018-06-01 02:28:00,820602,821149,820300,820791,14.488541,11889702.08,820627.9763
2018-06-01 02:29:00,820792,820792,819109,819970,16.89112901,13850237.099,819971.06829
2018-06-01 02:30:00,820113,821334,820113,821334,5.33784197,4381764.4541,820886.88252
2018-06-01 02:31:00,821035,821112,820184,820562,12.0300475,9870517.8318,820488.68317
2018-06-01 02:32:00,820562,820689,820282,820291,3.66679999,3008840.7641,820563.09924
2018-06-01 02:33:00,820489,821003,820446,820456,6.52,5350639.2891,820650.1977100002
2018-06-01 02:34:00,820106,820343,819441,819760,11.85515147,9720949.698,819976.84488
2018-06-01 02:35:00,819423,819970,819380,819623,3.974,3258221.4902,819884.6225899998
2018-06-01 02:36:00,819506,820221,819109,819910,8.7059,7135736.8118,819643.78316
2018-06-01 02:37:00,819910,820212,819719,819792,4.48424852,3676500.7087,819869.9720300002
2018-06-01 02:38:00,819762,819890,819443,819540,2.0414,1673027.3927,819549.03141
2018-06-01 02:39:00,819269,819291,818753,818753,5.4477,4461517.9032,818972.75974
2018-06-01 02:40:00,818755,819400,818750,819325,2.601512,2130956.4349,819122.2777
2018-06-01 02:41:00,819000,819540,818750,819400,3.86921499,3169605.6198,819185.70768
2018-06-01 02:42:00,819306,819767,819000,819381,4.19804168,3439342.794,819273.14119
2018-06-01 02:43:00,819000,819257,818500,818500,7.12415039,5834224.2061,818936.13788
2018-06-01 02:44:00,818501,819149,818000,819149,10.87740039,8903619.6255,818542.9704
2018-06-01 02:45:00,819149,819715,819020,819702,4.76454,3904134.5959,819414.80099
2018-06-01 02:46:00,819788,820316,819563,820001,4.560989599999999,3738872.936,819750.3752199998
2018-06-01 02:47:00,820001,820197,820000,820000,9.5143,7802029.5836,820031.90814
